region,variety,method,score
"dongshan dist., tainan city è‡ºå—å¸‚æ±å±±å€",Caturra,Natural / Dry,82.92
"blida,kercha,guji,oromia",Ethiopian Heirlooms,Washed / Wet,82.92
å°æ±å¤ªéº»é‡Œ,Typica,Natural / Dry,82.92
"bukidnon, mindanao, philppines",Other,Washed / Wet,82.92
asia pacific,Other,Washed / Wet,82.92
cuarenteÃ±o,Typica,Natural / Dry,82.92
chiapas,Bourbon,Washed / Wet,82.92
cerrado,Moka Peaberry,Semi-washed / Semi-pulped,82.92
eastern,SL14,Washed / Wet,82.92
west nile,SL14,Washed / Wet,82.92
antigua,Bourbon,Washed / Wet,82.92
antigua,Caturra,Natural / Dry,82.92
huila,Caturra,Washed / Wet,82.92
huila,Caturra,Natural / Dry,82.92
huehuetenango,Bourbon,Washed / Wet,82.92
antioquia,Other,Washed / Wet,82.92
petatlan,Typica,Natural / Dry,82.92
don duong,Other,Natural / Dry,82.92
la cumbre,Typica,Washed / Wet,82.92
kona,Hawaiian Kona,Washed / Wet,82.92
nyeri,SL28,Washed / Wet,82.83
san marcos,Bourbon,Washed / Wet,82.83
south of minas,Yellow Bourbon,Pulped natural / honey,82.83
"el balsamo, quezaltepec",Pacas,Washed / Wet,82.83
gicumbi,Bourbon,Washed / Wet,82.83
vietnam tutra,Other,Other,82.83
oriente,Bourbon,Washed / Wet,82.83
cerrado,Catuai,Natural / Dry,82.83
huila,Other,Washed / Wet,82.83
berastagi,Other,Other,82.83
antigua,Bourbon,Washed / Wet,82.83
santander,Typica,Natural / Dry,82.83
huila,Caturra,Washed / Wet,82.83
arusha,Arusha,Washed / Wet,82.83
la concordia,Caturra,Washed / Wet,82.83
veracruz,Bourbon,Washed / Wet,82.83
oriente,Bourbon,Washed / Wet,82.83
la concordia,Typica,Washed / Wet,82.83
santa rosa,Caturra,Washed / Wet,82.75
santa rosa,Caturra,Washed / Wet,82.75
san marcos,Bourbon,Washed / Wet,82.75
santa rosa,Bourbon,Washed / Wet,82.75
oriente,Bourbon,Washed / Wet,82.75
sapan toraja,Sulawesi,Other,82.75
el progreso,Bourbon,Washed / Wet,82.75
"å°å—å¸‚æ±å±±å€( dongshan dist., tainan city)",Yellow Bourbon,Natural / Dry,82.75
cacahuatique,Bourbon,Washed / Wet,82.75
tarrazu,Caturra,Washed / Wet,82.75
comayagua,Caturra,Natural / Dry,82.75
south of minas,Yellow Bourbon,Pulped natural / honey,82.75
yunnan,Catimor,Natural / Dry,82.75
menglian,Catimor,Washed / Wet,82.75
huila,Caturra,Washed / Wet,82.75
mzuzu,Gesha,Washed / Wet,82.75
jalapa,Pacas,Washed / Wet,82.75
huila,Typica,Washed / Wet,82.75
kona,Hawaiian Kona,Natural / Dry,82.75
kona,Hawaiian Kona,Natural / Dry,82.75
antioquia,Caturra,Washed / Wet,82.75
chiapas,Typica,Washed / Wet,82.75
veracruz,Typica,Washed / Wet,82.75
atoyac de alvarez,Typica,Natural / Dry,82.75
south huila,Caturra,Washed / Wet,82.75
huila,Caturra,Washed / Wet,82.75
kona,Hawaiian Kona,Washed / Wet,82.75
boquete,Catuai,Washed / Wet,82.75
south of minas,Bourbon,Natural / Dry,82.67
south of minas,Bourbon,Natural / Dry,82.67
"paksong,laos",Catimor,Washed / Wet,82.67
"el balsamo, quezaltepec",Pacas,Washed / Wet,82.67
south of minas,Yellow Bourbon,Natural / Dry,82.67
monte carmelo,Catuai,Natural / Dry,82.67
karatu arusha,Other,Washed / Wet,82.67
mbinga,Bourbon,Washed / Wet,82.67
å˜‰ç¾©é˜¿é‡Œå±±,Typica,Washed / Wet,82.67
la yerba,Typica,Natural / Dry,82.67
mt elgon,SL14,Washed / Wet,82.67
chiayi alishan å˜‰ç¾©ç¸£é˜¿é‡Œå±±é„‰,Typica,Washed / Wet,82.67
phahi,Caturra,Washed / Wet,82.67
huila,Caturra,Washed / Wet,82.67
antigua,Caturra,Washed / Wet,82.67
thailand,Other,Washed / Wet,82.67
mahuixtlan,Typica,Washed / Wet,82.67
oriente,Bourbon,Washed / Wet,82.58
åœ‹å§“é„‰ guoshing township,Typica,Pulped natural / honey,82.58
aceh,Typica,Semi-washed / Semi-pulped,82.58
chiangrai,Caturra,Washed / Wet,82.58
ikand village,Other,Washed / Wet,82.58
eastern,SL14,Natural / Dry,82.58
central valley,Catuai,Washed / Wet,82.58
huila,Caturra,Washed / Wet,82.58
huila,Caturra,Washed / Wet,82.58
huila,Caturra,Washed / Wet,82.58
oaxaca,Typica,Washed / Wet,82.58
colima,Typica,Washed / Wet,82.58
huila,Caturra,Washed / Wet,82.58
south of minas,Bourbon,Natural / Dry,82.5
bali,Other,Washed / Wet,82.5
comayagua,Caturra,Washed / Wet,82.5
oriente,Bourbon,Washed / Wet,82.5
chiangrai,Caturra,Washed / Wet,82.5
karatu arusha,Other,Washed / Wet,82.5
moshi,Other,Washed / Wet,82.5
chiapas,Other,Washed / Wet,82.5
south of minas,Yellow Bourbon,Semi-washed / Semi-pulped,82.5
oriente,Bourbon,Washed / Wet,82.5
huila,Caturra,Washed / Wet,82.5
oriente,Bourbon,Washed / Wet,82.5
san bartolo tutotepec,Typica,Washed / Wet,82.5
zapotitlan de mendez,Typica,Washed / Wet,82.5
la concordia,Typica,Semi-washed / Semi-pulped,82.5
oriente,Caturra,Natural / Dry,82.5
carmo de minas,Bourbon,Semi-washed / Semi-pulped,82.5
huila,Caturra,Washed / Wet,82.5
kona,Hawaiian Kona,Washed / Wet,82.5
"comayagua, honduras",Other,Washed / Wet,82.42
san marcos,Bourbon,Washed / Wet,82.42
san marcos,Bourbon,Washed / Wet,82.42
el progreso,Bourbon,Washed / Wet,82.42
santa rosa,Caturra,Washed / Wet,82.42
guayata,Caturra,Washed / Wet,82.42
yunnan,Catimor,Washed / Wet,82.42
arusha meru,Ruiru 11,Washed / Wet,82.42
south of minas,Yellow Bourbon,Natural / Dry,82.42
atitlan,Caturra,Washed / Wet,82.42
la yerba,Typica,Washed / Wet,82.42
south of minas,Catuai,Semi-washed / Semi-pulped,82.42
south of minas,Yellow Bourbon,Natural / Dry,82.42
veracruz,Bourbon,Washed / Wet,82.42
huila,Caturra,Washed / Wet,82.42
chiapas,Typica,Washed / Wet,82.42
san pedro cotzilnam,Typica,Semi-washed / Semi-pulped,82.42
coatepec,Typica,Washed / Wet,82.42
xalapa,Caturra,Washed / Wet,82.42
zihuatanejo de azueta,Typica,Washed / Wet,82.42
veracruz,Pacamara,Washed / Wet,82.42
xicotepec de juarez,Caturra,Washed / Wet,82.42
progreso santa rosa teocelo,Bourbon,Washed / Wet,82.42
fln mirador,Typica,Washed / Wet,82.42
huila,Caturra,Natural / Dry,82.42
south of minas,Arusha,Natural / Dry,82.42
huila,Caturra,Washed / Wet,82.42
comayagua,Caturra,Washed / Wet,82.33
cerrado,Catuai,Natural / Dry,82.33
south of minas,Bourbon,Natural / Dry,82.33
tarrazu,Caturra,Washed / Wet,82.33
tarrazu,Catuai,Washed / Wet,82.33
xishuangbanna prefecture,Catimor,Pulped natural / honey,82.33
south of minas,Bourbon,Natural / Dry,82.33
chapadÃ£o de ferro (cerrado mineiro),Mundo Novo,Natural / Dry,82.33
huehuetenango,Bourbon,Washed / Wet,82.33
mzuzu,Gesha,Washed / Wet,82.33
south of minas,Bourbon,Natural / Dry,82.33
jalapa,Pacas,Washed / Wet,82.33
antioquia,Caturra,Washed / Wet,82.33
changhua baguashan å½°åŒ–å¸‚å…«å¦å±±,Typica,Semi-washed / Semi-pulped,82.33
taichung xinshe å°ä¸­å¸‚æ–°ç¤¾å€,Typica,Washed / Wet,82.33
oriente,Bourbon,Washed / Wet,82.33
huila,Caturra,Washed / Wet,82.33
"la concordia, chiapas",Typica,Washed / Wet,82.33
jalapa,Bourbon,Washed / Wet,82.33
"jaltocan, hidalgo",Typica,Natural / Dry,82.33
veracruz,Bourbon,Washed / Wet,82.33
oriente,Bourbon,Washed / Wet,82.33
grama valley,Mundo Novo,Natural / Dry,82.33
santa catarina juquila,Typica,Washed / Wet,82.33
south of minas,Mundo Novo,Washed / Wet,82.33
